Tanggal,Waktu,Konsentrasi CO2 (ppm),Suhu (C)
415,28,,
420,25,,
...,... ,,
1434.73,,26.2,
1494.30,,26.2,
1708.50,,26.2,
1711.10,,26.2,
1770.67,,25.81,
1813.64,,25.8,
1759.77,,25.99,
1448.89,,26.07,
1754.72,,26.31,
1857.10,,26.55,
1833.66,,26.7,
1850.26,,26.7,
1888.67,,26.7,
1848.31,,26.95,
1822.10,,26.71,
1815.43,,27.09,
1430.66,,26.71,
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
03:40:10,1434.73,,26.2
03:47:35,1494.30,,26.2
03:49:57,1708.50,,26.2
03:51:41,1711.10,,26.2
03:54:34,1770.67,,25.81
03:55:39,1813.64,,25.8
03:58:50,1759.77,,25.99
03:59:42,1448.89,,26.07
04:36:14,1754.72,,26.31
04:39:43,1857.10,,26.55
04:41:40,1833.66,,26.7
04:45:55,1850.26,,26.7
04:46:49,1888.67,,26.7
04:47:43,1848.31,,26.95
04:52:48,1822.10,,26.71
05:03:24,1815.43,,27.09
05:08:07,1430.66,,26.71
05:17:19,1517.58,,26.73
2024-07-28,05:17:19,1517.58,26.73
2024-07-28,05:17:19,1517.58,26.73
2024-07-28,05:17:19,1517.58,26.73
2024-07-28,05:17:19,1517.58,26.73
2024-07-28,05:17:19,1517.58,26.73
